,TEACHER RELATED INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0944  ,KAUSHAMBI                                         ,3492,25,17,1315,0,0,738,69,19,613,19,0,48,0,8,29,0,17,66,6,4,73,2,87,384,8,9,484,2,561,1170,59,14,762,8,674,1000,9,4,543,5,150,28,0,0,14,0,5,34,3,0,2,0,2,12,0,0,6,2,0,1855,71,28,1488,17,887,14,11,425,2,0,0,0,0,0,627,14,0,11,0,889,8,0,4,0,0,0,0,0,0,479,12,0,260,1,286,1,1,53,0,24,8,0,21,0,17,1,0,9,0,503,0,0,271,0,373,0,0,67,0,28,13,3,0,0,0,4168,570,8,380,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0923  ,KHERI                                             ,8099,79,19,2241,45,0,1417,312,42,515,142,0,180,14,1,148,6,94,506,3,1,389,1,98,1042,61,10,484,8,1113,1920,161,20,931,42,2115,1536,118,24,709,125,837,31,3,0,13,1,20,16,2,0,2,0,4,71,1,5,60,1,0,3368,271,29,1954,149,1934,92,32,782,35,0,0,0,0,0,2008,15,0,16,2,2211,13,0,4,1,0,0,0,0,0,978,27,4,352,7,485,3,0,100,4,67,6,0,20,3,76,0,0,13,0,900,3,0,184,2,794,0,0,78,0,5,0,0,0,0,0,6972,804,16,1335,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0959  ,KUSHINAGAR                                        ,5738,39,17,1315,28,0,2108,877,196,1093,390,0,122,32,4,73,5,27,234,52,27,72,12,33,1038,169,24,326,41,1267,2074,467,111,1002,173,1188,1386,189,46,838,174,478,50,3,0,18,2,13,7,0,1,7,1,1,0,0,0,0,0,0,3571,758,176,1924,350,1340,154,37,412,58,0,0,0,0,0,1260,22,4,47,10,1696,4,4,25,0,0,0,0,0,0,905,95,12,250,37,418,14,2,39,7,50,3,2,16,3,25,0,1,4,0,259,7,2,160,6,203,0,0,39,0,21,22,8,0,0,0,6210,673,27,307,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0937  ,LALITPUR                                          ,3046,44,34,1173,50,0,1203,583,0,344,92,0,20,0,0,7,0,6,148,15,0,87,0,77,600,105,9,386,5,626,1148,391,7,655,53,836,682,114,17,330,81,170,20,2,1,2,3,5,3,0,0,2,0,0,0,0,0,0,0,0,1516,258,3,982,115,1105,369,31,487,27,0,0,0,0,0,881,0,0,13,0,747,0,0,35,0,0,0,0,0,0,425,29,0,187,17,186,50,6,79,1,15,3,0,4,0,9,2,0,4,0,704,0,0,307,0,473,0,0,130,0,0,0,0,0,0,0,2938,107,22,313,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0927  ,LUCKNOW                                           ,5283,22,0,1480,0,0,2289,1412,80,451,41,0,1444,445,7,342,11,104,445,348,10,134,0,41,604,96,2,252,4,733,1350,377,42,586,13,1055,1323,155,18,565,11,418,28,6,1,17,2,5,1,1,0,3,0,1,10,0,0,22,0,0,2584,932,34,834,34,2621,496,46,1087,7,0,0,0,0,0,868,0,2,2,0,1507,6,0,8,0,0,0,0,0,0,596,118,4,108,0,634,53,4,230,0,18,9,1,4,4,38,6,0,10,1,129,0,0,56,0,213,0,0,70,0,8,0,2,0,0,0,8294,853,20,178,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0957  ,MAHARAJGANJ                                       ,4318,25,9,1121,0,0,1090,482,44,548,9,0,133,12,0,27,0,9,106,23,3,85,0,43,616,154,27,263,0,959,1223,280,29,608,9,879,1035,132,2,651,0,381,22,2,0,9,0,11,2,3,0,0,0,0,0,0,0,26,0,0,2278,541,56,1365,9,859,65,5,304,0,0,0,0,0,0,983,0,0,0,0,1297,0,0,0,0,0,0,0,0,0,575,65,3,207,1,312,6,0,33,0,27,3,0,13,0,23,0,0,11,0,35,0,0,13,0,16,0,0,1,0,9,99,8,0,0,0,4884,206,1,8,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0939  ,MAHOBA                                            ,1864,3,0,745,42,0,645,471,42,186,48,0,137,90,10,49,8,40,232,188,14,82,24,58,322,75,6,204,15,352,517,101,4,330,25,392,377,23,8,257,18,95,4,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1129,376,32,688,79,460,101,10,244,11,0,0,0,0,0,445,0,0,1,0,475,0,0,1,0,0,0,0,0,0,251,22,4,125,8,114,5,0,38,0,6,2,0,3,0,1,0,0,0,0,49,1,0,42,0,36,0,0,16,0,0,3,0,3,0,0,3120,895,8,43,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0918  ,MAINPURI                                          ,5054,19,22,1700,35,0,2957,323,17,1706,317,0,207,17,2,89,21,73,313,5,0,131,8,82,897,33,1,552,10,733,2243,186,10,1249,106,1018,1874,80,26,1193,202,515,50,4,0,25,5,6,19,9,0,18,0,2,84,2,0,71,0,3,3564,254,20,2276,305,2123,82,19,1052,47,0,0,0,0,0,986,5,0,59,0,1338,1,0,19,0,0,0,0,0,0,638,17,0,379,46,436,5,1,167,6,23,4,0,25,0,24,1,0,12,0,332,5,0,199,5,261,1,0,67,0,0,0,0,0,0,0,7156,650,18,486,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0914  ,MATHURA                                           ,5459,80,9,1829,8,0,1536,828,9,396,78,0,73,5,1,37,1,11,365,33,2,71,1,70,1006,143,0,564,7,1136,1835,487,7,824,48,713,1510,226,5,682,27,242,45,5,1,14,2,5,6,1,0,1,0,0,8,0,0,5,0,0,2944,683,10,1562,75,1904,217,6,636,11,0,0,0,0,0,990,7,1,19,0,1162,1,1,8,0,0,0,0,0,0,568,56,1,318,9,430,8,0,116,0,18,6,0,20,1,20,3,0,10,0,61,1,0,58,0,68,0,0,41,0,5,0,0,0,0,0,6028,280,14,78,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0962  ,MAU                                               ,5758,132,16,1468,7,0,868,101,1,377,17,0,424,38,5,140,1,109,364,12,4,114,2,49,1519,40,1,584,4,579,1678,86,1,679,12,765,843,36,3,302,7,291,19,2,0,3,0,14,12,0,0,0,0,0,0,0,0,0,0,0,3091,132,12,1230,23,1768,82,2,592,3,0,0,0,0,0,653,7,3,20,0,1128,12,0,5,0,0,0,0,0,0,861,31,9,273,3,531,21,0,135,0,60,3,0,22,0,47,2,0,9,0,16,0,0,10,0,75,1,0,11,0,14,0,0,2,2,0,6374,797,1,37,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0907  ,MEERUT                                            ,3919,248,0,1344,19,0,3034,1582,14,986,187,0,188,45,0,69,4,33,463,69,3,112,8,40,1163,243,0,503,16,263,2349,896,8,853,71,473,1589,506,2,742,104,345,87,20,0,22,1,20,10,5,0,9,0,5,0,0,0,0,0,0,2653,746,9,1479,176,3196,1038,4,831,28,0,0,0,0,0,391,24,1,10,2,724,26,0,10,0,0,0,0,0,0,413,70,3,282,22,392,77,1,129,4,34,4,0,22,0,66,9,0,14,0,0,0,0,1,0,0,0,0,0,0,11,4,0,0,0,0,8152,608,16,3,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0969  ,MIRZAPUR                                          ,5172,0,33,1023,0,0,2127,209,56,1192,321,0,53,19,0,35,3,8,207,15,3,66,0,108,895,27,14,423,10,887,1860,101,37,842,85,1268,1552,61,31,786,213,483,56,1,1,29,7,18,18,0,0,2,0,2,5,0,0,1,2,0,2799,140,43,1517,263,1847,84,43,667,57,0,0,0,0,0,1077,2,2,26,1,1590,2,1,5,0,0,0,0,0,0,629,11,1,182,22,283,0,4,57,1,32,1,0,8,7,32,0,0,8,0,308,0,0,52,0,192,0,0,37,0,14,19,0,0,0,0,5975,247,27,873,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0904  ,MORADABAD                                         ,6517,29,44,2044,94,0,5149,4713,969,2093,820,0,14,3,4,9,1,2,373,84,21,111,9,100,1451,637,87,631,40,965,3706,2342,347,1694,243,1684,2854,1679,536,1661,603,607,51,9,9,33,6,6,7,2,0,1,1,0,0,0,7,0,0,0,4855,2289,472,2734,675,3601,2467,539,1406,228,0,0,0,0,0,1585,15,0,3,5,1741,11,2,4,6,0,0,0,0,0,1073,339,41,465,109,638,209,17,161,29,20,18,2,14,8,20,13,3,4,0,1701,11,0,629,3,1252,16,0,320,1,116,40,0,10,0,0,17506,2935,13,3256,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0902  ,MUZAFFARNAGAR                                     ,6530,68,5,2455,12,0,3406,462,5,1225,37,0,511,28,2,247,3,177,695,4,0,206,0,69,1133,26,2,787,2,809,3069,304,3,1394,19,1390,1686,140,3,885,25,469,29,0,0,11,0,8,26,0,0,5,0,9,0,0,0,1,0,0,4568,271,8,2439,39,2581,231,2,1097,10,0,0,0,0,0,1423,21,0,106,0,1367,7,0,38,0,0,0,0,0,0,691,33,0,389,5,488,37,0,132,1,38,1,1,17,1,28,0,1,14,0,99,0,0,67,0,54,0,0,22,0,3,0,0,0,0,0,9003,867,22,129,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0921  ,PILIBHIT                                          ,4101,358,6,1594,38,0,479,145,11,188,70,0,214,53,2,133,19,56,201,10,2,128,6,44,471,69,0,507,3,690,935,238,0,499,14,724,921,136,11,462,66,383,22,1,0,11,0,0,4,1,0,1,0,3,0,0,0,0,0,0,1806,340,3,1196,99,962,168,12,545,9,0,0,0,0,0,838,13,0,13,0,1009,14,2,36,0,0,0,0,0,0,373,27,0,218,12,221,10,0,73,1,27,5,0,12,1,14,3,0,9,0,50,1,0,65,3,57,4,0,30,0,35,32,0,8,0,0,4519,686,14,173,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0943  ,PRATAPGARH                                        ,7011,0,6,1688,11,0,2289,87,2,1336,170,0,87,6,0,30,5,13,212,3,0,90,3,44,1092,9,1,654,6,1011,2705,42,4,1248,54,1320,2264,30,7,959,112,531,66,1,0,24,1,4,9,0,0,1,0,2,0,0,0,0,0,0,4514,72,5,2312,175,1921,19,7,694,6,0,0,0,0,0,1010,0,0,13,0,1894,0,0,8,0,0,0,0,0,0,691,4,0,415,15,442,0,0,102,1,27,0,0,16,0,18,0,0,9,0,887,0,0,268,2,579,0,0,45,0,39,4,4,3,0,0,7179,470,22,726,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0928  ,RAE BARELI                                        ,5224,8,0,1806,4,0,1563,122,11,626,51,0,150,7,2,56,4,50,163,4,1,59,0,319,875,19,0,402,5,621,1660,44,4,929,14,1088,1571,53,2,927,31,539,40,1,0,18,0,12,24,0,0,2,0,5,0,0,0,5,0,0,2771,71,7,1583,48,1712,57,2,815,6,0,0,0,0,0,850,2,3,23,0,1467,0,2,11,1,0,0,0,0,0,653,2,1,298,5,442,2,0,152,0,58,0,0,22,1,38,1,0,8,0,873,1,2,275,2,904,9,0,152,1,13,0,3,0,0,0,5655,347,51,795,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0905  ,RAMPUR                                            ,4299,97,10,1182,7,0,927,132,0,157,0,0,199,12,0,279,0,177,506,13,0,123,0,67,777,34,0,181,2,541,1066,92,8,347,3,832,669,62,0,212,0,323,12,0,0,3,0,5,8,0,0,1,0,4,0,0,0,1,0,0,2118,170,4,915,4,1119,43,4,232,1,0,0,0,0,0,1120,10,0,117,2,869,6,2,75,0,0,0,0,0,0,553,26,2,149,1,219,4,0,25,0,32,4,0,7,0,26,1,0,2,0,3,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,4260,1035,2,2,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0901  ,SAHARANPUR                                        ,6297,190,103,2119,689,0,5774,1389,189,1613,15,0,434,82,14,103,13,66,571,62,13,144,30,48,1580,263,8,625,42,472,3931,708,97,1438,241,1455,2665,383,152,1327,333,824,76,5,1,27,6,11,71,20,1,7,1,9,0,0,0,0,0,0,4663,595,109,2215,532,4665,928,177,1456,134,0,0,0,0,0,1097,25,0,41,27,1646,31,6,20,11,0,0,0,0,0,1175,84,12,539,128,884,64,15,231,28,31,11,0,29,15,44,17,0,21,2,1166,0,0,636,0,975,1,3,327,2,0,0,0,0,0,0,10845,1445,12,1778,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0956  ,SANT KABIR NAGAR                                  ,3009,10,0,784,3,0,580,27,2,306,8,0,78,0,0,22,0,31,218,2,0,67,0,71,439,2,0,277,1,680,767,15,2,443,4,606,462,14,0,262,6,234,9,0,0,4,0,3,22,0,0,2,0,0,6,0,0,3,0,0,1519,26,2,856,10,482,7,0,224,1,0,0,0,0,0,689,2,0,7,0,899,2,0,3,0,0,0,0,0,0,419,9,0,160,0,237,0,0,33,0,9,0,0,8,0,5,0,0,2,0,21,0,0,11,0,6,0,0,6,0,0,0,0,0,0,0,3052,1381,2,4,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0922  ,SHAHJAHANPUR                                      ,6290,12,2,1907,5,0,1567,713,36,582,30,0,68,22,1,45,1,27,229,27,1,125,2,23,659,94,2,502,0,989,1650,284,12,793,4,1817,1647,278,22,952,21,734,32,6,0,29,3,5,2,3,0,3,0,5,0,4,0,16,0,0,2709,380,32,1594,27,1578,338,6,871,4,0,0,0,0,0,1694,13,0,16,4,1903,6,0,12,0,0,0,0,0,0,700,35,3,282,6,333,27,0,113,0,32,5,1,11,0,15,1,0,6,0,1694,0,0,528,0,1388,1,0,282,0,27,12,0,4,0,0,5823,665,14,1227,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0951  ,SHRAWASTI                                         ,2623,4,0,922,16,0,647,95,11,256,94,0,44,0,0,10,3,6,69,6,0,43,1,63,314,15,0,220,3,494,853,51,4,388,34,608,776,40,7,491,64,271,18,2,0,10,1,4,20,5,0,1,0,1,7,0,0,7,0,0,1544,97,11,881,96,557,22,0,289,10,0,0,0,0,0,685,6,0,8,3,704,0,0,0,1,0,0,0,0,0,389,9,0,149,10,114,1,0,27,0,38,2,0,16,0,20,0,0,9,0,243,0,0,155,0,137,0,0,74,0,220,26,0,0,0,0,2455,181,20,176,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0954  ,SIDDHARTHNAGAR                                    ,5525,0,0,1214,31,0,961,268,0,584,277,0,149,87,1,75,10,22,177,97,1,84,3,148,606,96,0,419,18,1585,1579,167,2,745,153,1001,1215,84,0,412,120,296,26,4,0,4,1,0,11,0,0,2,1,5,0,0,0,0,0,0,2735,441,4,1404,264,1028,94,0,337,42,0,0,0,0,0,1504,18,0,56,1,1381,3,0,8,1,0,0,0,0,0,694,31,1,277,25,280,5,0,83,10,59,0,0,22,9,26,1,0,8,0,51,8,0,42,2,26,4,0,7,0,162,288,4,7,0,0,5918,2705,53,32,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0924  ,SITAPUR                                           ,9513,17,14,2569,8,0,2935,383,79,1151,61,0,518,20,1,199,1,265,472,15,1,216,0,22,1472,100,17,829,0,1064,2729,168,29,1315,9,2086,2778,97,42,1112,58,846,77,0,0,14,1,16,8,0,0,4,0,3,0,0,0,0,0,0,4763,262,60,2528,60,3291,138,30,1161,9,0,0,0,0,0,1980,0,3,20,0,2414,0,0,11,0,0,0,0,0,0,1520,54,20,478,8,878,14,1,188,1,69,1,0,24,1,38,0,0,13,1,836,13,9,269,14,734,7,4,139,3,0,0,0,0,0,0,9829,1845,10,1768,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0970  ,SONBHADRA                                         ,4137,163,53,1102,117,0,1109,559,62,323,188,0,17,5,1,3,0,6,96,14,9,19,3,8,418,119,2,308,22,876,1120,359,45,572,61,1367,982,201,45,505,202,378,36,1,1,3,6,4,2,2,1,2,0,0,18,0,0,6,5,0,1601,436,54,969,250,1088,265,50,449,49,0,0,0,0,0,1369,26,10,20,4,1202,13,1,6,2,0,0,0,0,0,615,86,3,162,30,249,28,1,66,4,221,9,1,34,5,110,11,1,9,0,519,0,0,212,0,356,0,0,112,0,14,18,0,19,0,0,3787,2144,13,1356,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0949  ,SULTANPUR                                         ,5273,14,9,1727,46,0,1916,587,0,1262,534,0,13,1,0,6,0,4,105,21,0,39,2,142,757,106,0,543,23,784,2078,338,2,1202,198,1304,1689,171,15,1094,356,518,45,0,0,21,1,1,4,2,0,0,0,1,0,0,0,0,0,0,3050,449,16,2185,526,1641,190,1,720,54,0,0,0,0,0,774,1,0,20,0,1755,6,0,64,0,0,0,0,0,0,716,38,0,325,22,374,12,0,81,1,8,1,0,6,1,10,2,0,3,0,1178,2,0,468,0,1280,0,0,165,0,31,45,8,0,0,0,6314,149,35,810,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0926  ,UNNAO                                             ,7615,24,6,2112,26,0,3541,793,24,1279,111,0,264,33,1,74,5,86,674,76,0,276,18,1,1237,106,12,564,10,684,2711,337,9,1199,42,2190,2096,244,8,1190,61,816,55,2,0,23,0,8,14,1,0,6,0,6,294,11,0,25,0,0,4082,469,17,2230,115,3263,341,13,1127,21,0,0,0,0,0,1510,23,0,24,0,2358,6,0,10,1,0,0,0,0,0,905,57,2,389,11,689,27,5,200,3,44,9,0,15,0,46,3,0,10,0,1941,19,3,590,2,2026,3,0,421,1,57,22,0,0,0,0,9587,1373,16,3201,,,,,,,,,,,,,,,,,,
09,Uttar Pradesh                                     ,0967  ,VARANASI                                          ,5229,16,28,1793,35,0,1881,1843,277,1211,395,0,7,1,1,4,0,0,203,29,2,17,1,6,664,255,35,669,18,526,2095,1013,133,1157,133,863,2224,542,127,1129,263,385,141,16,7,25,8,4,3,0,0,2,1,0,0,1,0,1,2,0,3165,1036,158,1967,367,2172,821,147,1037,59,0,0,0,0,0,590,0,0,0,3,1183,2,0,0,1,0,0,0,0,0,472,114,8,376,32,351,49,12,156,4,26,2,1,27,0,13,0,1,5,0,1349,2,3,496,5,1175,1,5,289,0,0,0,0,0,0,0,10558,1737,14,1975,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0509  ,ALMORA                                            ,2362,9,14,550,1095,0,794,262,84,153,224,0,53,4,3,7,2,7,231,6,2,7,7,2,600,23,2,151,62,51,710,91,27,183,186,141,1279,140,56,337,1025,182,24,3,2,3,22,1,1,0,0,0,0,1,0,0,0,2,0,0,1581,117,27,455,959,1317,150,65,235,345,0,0,0,0,0,167,11,2,8,12,164,13,4,5,3,0,0,0,0,0,190,22,3,90,146,174,11,3,40,52,27,0,2,6,14,17,2,3,9,10,1137,9,0,340,562,912,8,12,185,209,73,20,0,0,0,0,4785,235,29,517,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0508  ,BAGESHWAR                                         ,735,8,12,347,252,0,360,18,13,100,67,0,13,0,0,1,1,0,113,0,0,5,2,4,203,0,0,100,26,21,244,3,3,95,58,41,469,15,22,244,231,19,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,10,17,319,274,430,10,8,128,44,0,0,0,0,0,43,0,0,0,1,30,6,0,3,0,0,0,0,0,0,87,2,3,56,53,53,1,0,19,6,8,1,0,4,4,5,0,1,5,3,439,0,0,265,196,283,0,0,104,29,25,0,0,3,0,0,1635,27,31,342,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0502  ,CHAMOLI                                           ,1635,76,21,851,531,0,451,350,48,131,59,0,10,1,0,8,0,1,56,4,0,8,5,1,196,40,4,89,12,11,609,123,20,279,79,114,1061,260,37,605,479,114,5,2,0,3,11,1,2,0,0,0,0,6,0,0,0,0,0,0,899,237,39,818,464,1040,193,22,174,122,0,0,0,0,0,124,2,2,1,1,105,4,6,3,3,0,0,0,0,0,117,28,3,148,84,108,18,0,30,17,24,8,0,28,18,68,4,2,19,5,674,3,0,705,405,893,3,0,151,106,82,10,0,14,0,0,3358,71,28,651,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0510  ,CHAMPAWAT                                         ,861,0,7,390,468,0,649,9,0,187,75,0,15,6,0,3,1,7,46,0,0,5,2,19,169,3,1,67,37,33,471,0,1,189,103,125,581,0,5,302,368,87,10,0,0,3,5,3,0,0,0,0,2,0,16,0,0,15,20,0,737,9,4,401,418,571,0,3,183,120,0,0,0,0,0,149,0,0,2,5,97,0,0,3,0,0,0,0,0,0,77,2,1,57,59,31,0,1,13,12,9,0,0,7,7,6,0,0,3,4,495,0,0,262,227,254,0,0,103,60,44,0,0,12,0,0,1967,83,34,403,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0505  ,DEHRADUN                                          ,2007,27,151,1058,678,0,1646,1081,736,554,212,0,93,21,7,18,5,21,182,35,34,32,12,5,424,70,33,203,27,33,1318,389,247,590,125,203,1341,524,537,736,689,182,12,10,8,5,16,3,5,2,1,0,1,6,0,0,0,0,0,0,622,193,201,746,518,2753,858,666,838,357,0,0,0,0,0,161,11,8,19,8,174,51,12,16,7,0,0,0,0,0,95,14,27,82,48,164,27,22,76,32,138,11,6,49,20,130,18,18,37,14,472,25,34,562,243,1422,67,88,527,145,57,5,0,7,0,0,6763,306,41,1317,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0506  ,GARHWAL                                           ,3040,3,18,1139,1261,0,671,97,72,344,302,0,24,0,0,12,7,5,104,1,0,17,14,40,428,9,2,170,53,37,1153,38,34,523,274,196,1565,54,53,755,1197,234,11,0,0,2,17,1,2,0,0,4,1,0,0,0,0,0,0,0,1487,49,26,979,1189,1800,53,63,504,374,0,0,0,0,0,256,0,1,11,3,199,0,0,7,1,0,0,0,0,0,224,4,0,154,144,148,1,0,65,42,33,0,1,9,14,2,0,2,1,6,1374,5,0,803,842,1589,8,6,382,278,31,2,0,18,4,0,6000,121,24,1502,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0513  ,HARDWAR                                           ,2349,6,27,617,320,0,2139,1269,673,594,274,0,94,11,14,6,0,23,204,29,9,13,2,6,657,157,22,68,9,75,1584,506,212,435,93,372,1662,525,426,659,460,188,43,7,2,4,18,4,25,6,0,1,0,1,7,0,0,0,0,0,1887,301,144,634,416,2389,940,541,552,166,0,0,0,0,0,296,21,3,12,8,261,62,12,24,4,0,0,0,0,0,303,50,15,116,59,260,60,25,77,19,19,1,2,21,17,26,26,3,11,2,1168,23,0,365,156,986,35,27,324,51,345,49,0,11,0,0,5688,314,28,1374,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0511  ,NAINITAL                                          ,2255,34,50,984,1369,0,1073,621,553,248,262,0,33,7,1,7,6,4,150,10,0,12,9,2,407,54,15,217,69,49,873,221,200,375,270,225,1400,367,362,618,1205,342,28,5,12,5,47,2,3,0,2,0,0,1,0,0,0,0,0,0,776,160,136,716,1062,2118,504,456,518,544,0,0,0,0,0,234,13,2,13,18,274,40,22,6,7,0,0,0,0,0,174,31,7,126,153,278,36,12,74,80,6,1,1,9,9,24,5,4,18,16,560,10,0,492,417,1133,16,6,300,148,74,62,13,21,0,0,6113,234,38,1186,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0507  ,PITHORAGARH                                       ,1899,18,45,760,648,0,961,290,127,204,113,0,14,3,0,2,1,2,109,1,0,1,7,2,471,56,5,164,33,38,824,139,61,339,126,210,1092,116,113,456,580,206,6,1,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1187,149,62,548,626,1329,167,117,419,129,0,0,0,0,0,206,4,1,2,4,231,6,0,2,2,0,0,0,0,0,197,21,5,127,116,177,17,3,53,21,48,9,4,15,28,87,25,5,21,16,859,9,8,427,418,970,9,12,342,85,93,18,8,7,0,0,3845,198,47,672,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0503  ,RUDRAPRAYAG                                       ,835,0,7,482,261,0,468,125,17,161,55,0,11,0,0,1,0,0,43,4,0,8,2,4,164,8,0,52,10,6,467,43,9,200,53,29,572,68,15,378,249,12,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,645,79,10,486,271,613,44,14,155,45,0,0,0,0,0,21,2,0,2,0,24,0,0,0,0,0,0,0,0,0,82,6,1,89,17,29,3,0,15,3,2,0,0,7,1,1,0,1,3,0,376,0,0,428,204,401,0,0,135,36,0,0,0,0,0,0,1956,10,18,460,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0504  ,TEHRI GARHWAL                                     ,2532,11,8,1005,1081,0,1065,361,79,293,116,0,26,2,0,6,4,1,74,7,0,20,7,2,387,30,2,140,28,69,1088,137,17,397,205,294,1402,162,68,715,934,261,16,1,0,8,13,3,16,1,0,4,2,0,0,0,0,0,0,0,1412,160,16,900,918,1597,180,71,390,275,0,0,0,0,0,340,13,0,3,4,248,19,0,5,0,0,0,0,0,0,202,18,1,173,105,148,8,2,43,35,11,4,0,17,5,4,0,1,11,5,981,10,0,663,493,1173,2,0,322,166,0,0,0,0,0,0,4990,197,25,734,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0512  ,UDHAM SINGH NAGAR                                 ,2760,0,36,967,781,0,2788,497,540,948,345,0,47,1,2,16,4,1,194,13,4,25,14,8,915,48,21,296,61,66,2273,204,189,751,252,197,2102,195,336,789,756,159,42,10,6,8,14,4,4,2,1,3,2,0,15,0,0,2,2,0,2597,188,143,1076,784,2995,285,416,814,321,0,0,0,0,0,91,11,6,32,10,186,38,11,33,11,0,0,0,0,0,304,14,3,148,84,235,26,18,88,45,166,2,2,70,13,153,7,2,33,7,1278,3,0,562,310,939,3,9,373,126,321,25,0,40,0,0,7541,205,32,1488,,,,,,,,,,,,,,,,,,
05,Uttarakhand                                       ,0501  ,UTTARKASHI                                        ,1449,0,13,908,520,0,746,370,70,94,73,0,38,3,0,13,1,9,42,4,4,32,1,428,221,27,12,206,7,56,629,122,18,349,87,250,754,168,49,369,466,172,9,6,0,1,6,2,0,1,0,0,1,0,60,16,0,17,7,0,915,187,53,765,477,838,160,30,222,99,0,0,0,0,0,237,9,0,11,16,205,14,0,4,1,0,0,0,0,0,164,22,5,97,67,143,11,1,37,6,34,3,2,19,15,38,7,0,11,11,311,0,0,287,97,374,0,1,97,20,0,0,0,0,0,0,3096,167,41,352,,,,,,,,,,,,,,,,,,
19,West Bengal                                       ,1913  ,BANKURA                                           ,11933,31,41,1609,9198,0,1316,76,121,23,15,0,275,6,10,7,7,26,3586,9,3,1,16,386,3592,19,6,2,24,141,4287,55,78,876,3739,1612,772,15,79,745,3863,183,13,2,1,7,65,10,16,1,0,0,5,1,0,0,0,0,0,0,8861,66,121,1324,5855,3680,41,56,314,1864,0,0,0,0,0,385,0,1,16,750,336,0,1,19,893,0,0,0,0,0,1861,8,4,250,1322,447,10,3,64,431,667,0,3,73,344,161,1,0,20,93,5925,13,12,689,4336,2491,8,0,177,1848,13,0,17,41,149,0,15215,480,9,8731,,,,,,,,,,,,,,,,,,
